ProjectID,ProjectURL,ImageURL,LocalFilename,Width,Height,AspectRatio,QualityTier,ProposedUsage,Notes
rebranding-san-khau-kich-hoang-thai-thanh,https://www.behance.net/gallery/120581809/REBRANDING-SAN-KHU-KCH-HOANG-THAI-THANH,https://mir-s3-cdn-cf.behance.net/projects/original/5e9097240930299.Y3JvcCw0MzA0LDMzNjYsMCwxMjAz.png,hoang-thai-thanh-hero.png,4304,3366,landscape,high,hero,Cover/hero — original resolution
rebranding-san-khau-kich-hoang-thai-thanh,https://www.behance.net/gallery/120581809/REBRANDING-SAN-KHU-KCH-HOANG-THAI-THANH,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/42814f120581809.60b4dad306657.png,hoang-thai-thanh-01.png,1400,1094,landscape,high,supporting,Brand identity spread
rebranding-san-khau-kich-hoang-thai-thanh,https://www.behance.net/gallery/120581809/REBRANDING-SAN-KHU-KCH-HOANG-THAI-THANH,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/24a658120581809.60ba5c3a2b6c2.png,hoang-thai-thanh-02.png,1400,1094,landscape,high,supporting,Collateral/application
rebranding-san-khau-kich-hoang-thai-thanh,https://www.behance.net/gallery/120581809/REBRANDING-SAN-KHU-KCH-HOANG-THAI-THANH,https://mir-s3-cdn-cf.behance.net/project_modules/source/07a504120581809.62cbf1b98aaa2.gif,hoang-thai-thanh-motion.gif,TBD,TBD,landscape,high,supporting,Motion asset
cho-du-hi,https://www.behance.net/gallery/233123681/GRADUATED-PROJECT-CH-DU-HI,https://mir-s3-cdn-cf.behance.net/projects/original/d6db84233123681.Y3JvcCw0MzIwLDMzNzksMCw0MTc.png,cho-du-hi-hero.png,4320,3379,landscape,high,hero,Original cover — campaign artwork
cho-du-hi,https://www.behance.net/gallery/233123681/GRADUATED-PROJECT-CH-DU-HI,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0f18c2233123681.68a9981b72af8.jpg,cho-du-hi-01.jpg,1400,1095,landscape,high,supporting,Campaign visual
cho-du-hi,https://www.behance.net/gallery/233123681/GRADUATED-PROJECT-CH-DU-HI,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/be44f1233123681.68a998e826970.png,cho-du-hi-02.png,1400,1095,landscape,high,supporting,Brand application
hue-cuisine,https://www.behance.net/gallery/128929041/HUE-CUISINE-(2018),https://mir-s3-cdn-cf.behance.net/projects/original/5e9097240930299.Y3JvcCw0MzA0LDMzNjYsMCwxMjAz.png,hue-cuisine-hero.png,4304,3366,landscape,high,hero,Original cover — watercolor illustration
hue-cuisine,https://www.behance.net/gallery/128929041/HUE-CUISINE-(2018),https://mir-s3-cdn-cf.behance.net/project_modules/1400/921760128929041.61601e758a132.gif,hue-cuisine-motion.gif,TBD,TBD,landscape,high,hero-alt,Animated GIF hero option
hue-cuisine,https://www.behance.net/gallery/128929041/HUE-CUISINE-(2018),https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/8a3ac9128929041.6162655f8ab3f.jpg,hue-cuisine-01.jpg,1400,1095,landscape,high,supporting,Dish illustration
hue-cuisine,https://www.behance.net/gallery/128929041/HUE-CUISINE-(2018),https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/e4e127128929041.6162655f8b2a7.jpg,hue-cuisine-02.jpg,1400,1095,landscape,high,supporting,Dish illustration
meikos-cosmetics,https://www.behance.net/gallery/129210387/MEIKOS-COSMETICS-(2018),https://mir-s3-cdn-cf.behance.net/project_modules/source/49349d129210387.616659436cfea.gif,meikos-cosmetics-hero.gif,TBD,TBD,landscape,high,hero,Source GIF — brand system
meikos-cosmetics,https://www.behance.net/gallery/129210387/MEIKOS-COSMETICS-(2018),https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/8a2671129210387.616659436d7a3.jpg,meikos-cosmetics-01.jpg,1400,1095,landscape,high,supporting,Packaging/application
takahiro-corporation,https://www.behance.net/gallery/236462703/TAKAHIRO-COPORATION-DESIGN,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/f9c5e3236462703.68ecca8403ebc.jpg,takahiro-hero.jpg,1400,1095,landscape,high,hero,Logo/identity hero
posm-mo-nuong,https://www.behance.net/gallery/250872779/POSM-MO-NUNG,https://mir-s3-cdn-cf.behance.net/projects/404/8e0b75250872779.Y3JvcCwyMjUwLDE3NTksMCwzMDA3.png,posm-mo-nuong-hero.png,2250,1759,portrait,medium,hero,Cover thumbnail — may use 1400_webp version instead
posm-mo-nuong,https://www.behance.net/gallery/250872779/POSM-MO-NUNG,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/1c4ad2250872779.6a293c5b8e66a.jpg,posm-mo-nuong-01.jpg,1400,1095,landscape,high,supporting,Menu / POSM layout
posm-mo-nuong,https://www.behance.net/gallery/250872779/POSM-MO-NUNG,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/e86334250872779.6a293c5b8e9f8.png,posm-mo-nuong-02.png,1400,1095,landscape,high,supporting,POSM poster / standee
social-media-mo-nuong,https://www.behance.net/gallery/250731191/SOCIAL-MEDIA-MO-NUNG,https://mir-s3-cdn-cf.behance.net/projects/404/4a7b03250731191.Y3JvcCw0MDg1LDMxOTUsMjIyLDIyMjQ.jpg,social-mo-nuong-hero.jpg,4085,3195,landscape,medium,hero,Cover thumbnail
social-media-mo-nuong,https://www.behance.net/gallery/250731191/SOCIAL-MEDIA-MO-NUNG,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/fd23f1250731191.6a267d45f36ac.jpg,social-mo-nuong-01.jpg,1400,1095,landscape,high,supporting,Social post feed
social-media-mo-nuong,https://www.behance.net/gallery/250731191/SOCIAL-MEDIA-MO-NUNG,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/cc4d67250731191.6a267b3487ae7.jpg,social-mo-nuong-02.jpg,1400,1095,landscape,high,supporting,Social post feed
famiglia-pizza,https://www.behance.net/gallery/162463351/FAMIGLIA-PIZZA,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/b011d5162463351.63d671e33d8ba.png,famiglia-pizza-hero.png,1400,1095,landscape,high,hero,Single strong hero — branding identity
cartoon-network-intro,https://www.behance.net/gallery/124284951/CARTOON-NETWORK-INTRO-2021-(SUMMER-VERSION),https://mir-s3-cdn-cf.behance.net/projects/404/c5ea3f124284951.Y3JvcCwxODI1LDE0MjgsMjE2LDQw.jpg,cartoon-network-hero.jpg,1825,1428,landscape,medium,hero,Cover thumbnail — motion intro
