Designer,DesignerProfile,ProjectTitle,ProjectURL,Category,VisualStyle,MainDeliverables,ImageCount,ImageRatioSummary,EstimatedQuality,StorytellingQuality,ClientFit,ProposedAction,Notes
Thang Mai,https://www.behance.net/kirithangmai,[GRADUATED PROJECT] - CHỢ DU HÍ,https://www.behance.net/gallery/233123681/GRADUATED-PROJECT-CH-DU-HI,Branding / Brand Identity,Editorial / Conceptual,Brand identity system / Collateral / Packaging,TBD,Landscape,High,Medium,High,Consider,High views (2.8K) — likely strong graduate project with cohesive system
Thang Mai,https://www.behance.net/kirithangmai,[REBRANDING] - SÂN KHẤU KỊCH HOÀNG THÁI THANH,https://www.behance.net/gallery/120581809/REBRANDING-SAN-KHU-KCH-HOANG-THAI-THANH,Branding / Rebranding,Premium / Cultural,Logo / Identity / Collateral / Guidelines,TBD,Landscape,High,High,High,Select,Top performer: 425 appreciations / 5.8K views — strong cultural rebranding case
Thang Mai,https://www.behance.net/kirithangmai,EVENT PROJECT | Honda UNITOUR 2023,https://www.behance.net/gallery/195111541/EVENT-PROJECT-Honda-UNITOUR-2023,Event / Key Visual,Bold / Branded,Key visual / Stage design / Event collaterals,TBD,Landscape,Medium-High,Medium,High,Consider,Corporate event — good for B2B client showcase
Thang Mai,https://www.behance.net/kirithangmai,EVENT PROJECT | SHISEIDO RETAILER MEETING 2025,https://www.behance.net/gallery/222068525/EVENT-PROJECT-SHISEIDO-RETAILER-MEETING-2025,Event / Key Visual,Elegant / Premium,Key visual / Backdrop / Event materials,TBD,Landscape,Medium-High,Medium,High,Consider,Beauty/luxury client event — premium feel
Thang Mai,https://www.behance.net/kirithangmai,KEY VISUAL | GLADIA KHANG ĐIỀN,https://www.behance.net/gallery/222068381/KEY-VISUAL-GLADIA-KHANG-DIN,Key Visual / Real Estate,Modern / Minimal,Key visual / Poster / Digital banner,TBD,Landscape,Medium,Medium,Medium,Hold,Real estate KV — may overlap with other KV projects
Thang Mai,https://www.behance.net/kirithangmai,KEYVISUAL | RUBY BEER,https://www.behance.net/gallery/218350069/KEYVISUAL-RUBY-BEER,Key Visual / Beverage,Bold / Vibrant,Key visual / Packaging mockup / Social assets,TBD,Landscape,Medium,Medium,Medium,Consider,F&B beverage KV — visual could be strong
Thang Mai,https://www.behance.net/kirithangmai,LAVIE | DESIGN COLLECTION,https://www.behance.net/gallery/218351489/LAVIE-DESIGN-COLLECTION,Social Media / Digital Design,Clean / Lifestyle,Social posts / Digital ads / Mini-campaign,TBD,Landscape,Medium,Medium,Medium,Consider,Big-name client (Lavie) — strong client-fit
Thang Mai,https://www.behance.net/kirithangmai,KITKAT | DESIGN COLLECTION,https://www.behance.net/gallery/218351047/KITKAT-DESIGN-COLLECTION,Social Media / Digital Design,Playful / Branded,Social posts / Digital content / KV variations,TBD,Landscape,Medium,Medium,High,Consider,Global FMCG client — excellent client credibility
Thang Mai,https://www.behance.net/kirithangmai,MILO | DESIGN COLLECTION,https://www.behance.net/gallery/218350483/MILO-DESIGN-COLLECTION,Social Media / Digital Design,Energetic / Youth,Social posts / Digital assets / Campaign adaptations,TBD,Landscape,Medium,Medium,High,Consider,Another global FMCG client — reinforces social/digital capability
Thang Mai,https://www.behance.net/kirithangmai,DIGITAL | DESIGN COLLECTION,https://www.behance.net/gallery/218352905/DIGITAL-DESIGN-COLLECTION,Digital Design,Varied / Modern,Digital banners / Social content / Online assets,TBD,Landscape,Medium,Medium,Medium,Hold,Generic collection — may duplicate Lavie/KitKat/Milo
Thang Mai,https://www.behance.net/kirithangmai,POSM | DESIGN COLLECTION,https://www.behance.net/gallery/218352287/POSM-DESIGN-COLLECTION,POSM / Retail,Varied / Retail-focused,Display / Standee / Shelf talker / Retail materials,TBD,Landscape,Medium,Medium,Medium,Hold,Generic POSM collection — overlap with specific POSM projects
Thang Mai,https://www.behance.net/kirithangmai,BRANDING | LONG HẢI - PATE CHO CHÓ MÈO,https://www.behance.net/gallery/222069141/BRANDING-LONG-HI-PATE-CHO-CHO-MEO,Branding / Packaging,Warm / Approachable,Logo / Packaging / Brand collateral,TBD,Landscape,Medium-High,Medium,High,Select,Pet food branding — distinct category + good client-fit
Trần Bảo,https://www.behance.net/ipad_19989bcd,PORTFOLIO 2023,https://www.behance.net/gallery/184776251/PORTFOLIO-2023,Portfolio / Mixed,Varied,Collection of best works across categories,TBD,Mixed,Medium,Medium,Medium,Reject,Portfolio-of-portfolios does not add client-facing value; overlaps individual projects
Trần Bảo,https://www.behance.net/ipad_19989bcd,SOCIAL MEDIA FOR ON DIGITALS (2022),https://www.behance.net/gallery/151605013/SOCIAL-MEDIA-FOR-ON-DIGITALS-(2022),Social Media,Clean / Tech,Social media posts / Templates / Digital content,TBD,Landscape,Medium,Medium,Medium,Consider,Agency social work — decent but not outstanding
Trần Bảo,https://www.behance.net/ipad_19989bcd,MV VÁY HOA NHÍ (2020),https://www.behance.net/gallery/147869697/MV-VAY-HOA-NHI-(2020),Motion / Music Video,Stylized / Narrative,Motion graphics / Lyric video / Visual effects,TBD,Landscape,Medium,Medium,Low-Medium,Hold,Entertainment project — less aligned with corporate client portfolio
Trần Bảo,https://www.behance.net/ipad_19989bcd,CARTOON NETWORK INTRO 2021 (SUMMER VERSION),https://www.behance.net/gallery/124284951/CARTOON-NETWORK-INTRO-2021-(SUMMER-VERSION),Motion / Animation,Playful / Broadcast,Animated intro / Motion graphics / Styleframes,TBD,Landscape,Medium-High,Medium,Medium,Consider,Strong motion capability demo — notable client (Cartoon Network)
Trần Bảo,https://www.behance.net/ipad_19989bcd,MTV INTRO (2019),https://www.behance.net/gallery/124094707/MTV-INTRO-(2019),Motion / Animation,Bold / Broadcast,Channel intro / Motion graphics / Sound-driven visuals,TBD,Landscape,Medium,Medium,Medium,Hold,Similar capability to Cartoon Network intro; choose the stronger one
Trần Bảo,https://www.behance.net/ipad_19989bcd,HUXLEY & NEW BALANCE (2019),https://www.behance.net/gallery/133136257/HUXLEY-NEW-BALANCE-(2019),Graphic Design / Illustration,Editorial / Lifestyle,Poster / Illustration / Brand collaboration,TBD,Landscape,Medium,Medium,Medium,Hold,Fashion/illustration project — not core to team positioning
Trần Bảo,https://www.behance.net/ipad_19989bcd,FJALLRAVEN KANKEN (2019),https://www.behance.net/gallery/132711379/FJALLRAVEN-KANKEN-(2019),Graphic Design / Illustration,Editorial / Outdoor,Poster / Illustration / Campaign visual,TBD,Landscape,Medium,Medium,Medium,Hold,Similar to Huxley/New Balance — overlaps illustration capability
Trần Bảo,https://www.behance.net/gallery/131639673/PNK,P!NK,https://www.behance.net/gallery/131639673/PNK,Graphic Design / Illustration,Edgy / Music,Poster / Illustration / Typography,TBD,Landscape,Medium,Medium,Low-Medium,Hold,Music/entertainment focus — less client-facing
Trần Bảo,https://www.behance.net/ipad_19989bcd,HOBGOBLIN,https://www.behance.net/gallery/129417345/HOBGOBLIN,Graphic Design / Illustration,Dark / Character,Poster / Illustration / Character design,TBD,Portrait,Medium,Medium,Low,Reject,Entertainment/character style — not aligned with commercial client portfolio
Trần Bảo,https://www.behance.net/ipad_19989bcd,MEIKO'S COSMETICS (2018),https://www.behance.net/gallery/129210387/MEIKOS-COSMETICS-(2018),Branding / Packaging,Elegant / Beauty,Logo / Packaging / Brand collateral,TBD,Landscape,Medium,Medium,High,Select,Beauty/packaging — strong client-fit and distinct from Thang Mai's work
Trần Bảo,https://www.behance.net/ipad_19989bcd,HUÉ CUISINE (2018),https://www.behance.net/gallery/128929041/HUE-CUISINE-(2018),Branding / Packaging / F&B,Premium / Cultural,Brand identity / Packaging / Menu / Collateral,TBD,Landscape,Medium-High,High,High,Select,Strong engagement (9 appreciations / 534 views) — excellent F&B branding case
