Project,Designer,Category,Decision,Rationale,RoleInPortfolio,HeroImage,SupportingImages
[REBRANDING] - SÂN KHẤU KỊCH HOÀNG THÁI THANH,"Thang Mai + Team",Branding / Rebranding,SELECT,Top performer: 425 appreciations / 5.9K views / 21 comments. Strong cultural rebranding with complete identity system and motion assets. Demonstrates premium branding + teamwork.,Hero project opening the Branding chapter; proves team can handle large cultural rebranding.,https://mir-s3-cdn-cf.behance.net/projects/original/5e9097240930299.Y3JvcCw0MzA0LDMzNjYsMCwxMjAz.png,"https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/42814f120581809.60b4dad306657.png, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/24a658120581809.60ba5c3a2b6c2.png, https://mir-s3-cdn-cf.behance.net/project_modules/source/07a504120581809.62cbf1b98aaa2.gif"
[GRADUATED PROJECT] - CHỢ DU HÍ,Thang Mai,Branding / Campaign,SELECT,Strong graduate concept campaign around Saigon market culture. High-resolution cover (4320x3379). Adds conceptual/campaign capability and local cultural angle.,Second project in Branding chapter; shows conceptual thinking and campaign execution.,https://mir-s3-cdn-cf.behance.net/projects/original/5e9097240930299.Y3JvcCw0MzA0LDMzNjYsMCwxMjAz.png,"https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/0f18c2233123681.68a9981b72af8.jpg, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/be44f1233123681.68a998e826970.png"
HUÉ CUISINE (2018),Trần Bảo,Branding + Motion / Illustration,SELECT,Excellent F&B case with watercolor illustration + motion GIF. Strong engagement (9 appreciations / 534 views). Unique style that stands out from other F&B projects.,Opens Food & Lifestyle chapter; demonstrates illustration + motion + F&B branding.,https://mir-s3-cdn-cf.behance.net/projects/original/71e20c238794059.Y3JvcCwxNjYzLDEzMDEsNTE4LDEzNQ.png,"https://mir-s3-cdn-cf.behance.net/project_modules/1400/921760128929041.61601e758a132.gif, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/8a3ac9128929041.6162655f8ab3f.jpg, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/e4e127128929041.6162655f8b2a7.jpg"
MEIKO'S COSMETICS (2018),Trần Bảo,Branding / Packaging / Beauty,SELECT,Beauty/cosmetics branding with cute illustration system. Adds packaging and beauty category — distinct from Thang Mai's corporate work and Ploy's F&B work.,Beauty/Packaging project; proves capability in cosmetics and feminine branding.,https://mir-s3-cdn-cf.behance.net/project_modules/source/49349d129210387.616659436cfea.gif,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/8a2671129210387.616659436d7a3.jpg
TAKAHIRO COPORATION DESIGN,Ploy Diep,Branding / Corporate / F&B,SELECT,Corporate-looking branding with multiple applications (logo + mockups + GIFs). Despite alt-text suggesting fast-food, presentation is professional and shows system thinking.,Corporate branding case; shows B2B identity + application system.,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/f9c5e3236462703.68ecca8403ebc.jpg,"https://mir-s3-cdn-cf.behance.net/project_modules/1400/586d5e236462703.68ecc989c1752.gif, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/02ad90236462703.68ecc989c0ab7.jpg, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/567757236462703.68ecc989c0516.jpg"
POSM MƠ NƯỚNG,Ploy Diep,POSM / Retail / F&B,SELECT,Vibrant F&B POSM materials with strong appetite appeal. Represents retail/POSM capability clearly. Complements social media project for same client.,POSM / Retail chapter; proves in-store and retail communication design.,https://mir-s3-cdn-cf.behance.net/projects/404/8e0b75250872779.Y3JvcCwyMjUwLDE3NTksMCwzMDA3.png,"https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/1c4ad2250872779.6a293c5b8e66a.jpg, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/e86334250872779.6a293c5b8e9f8.png"
SOCIAL MEDIA MƠ NƯỚNG,Ploy Diep,Social Media / F&B,SELECT,Same client as POSM Mơ Nướng; shows integrated social content capability. Can be paired with POSM project to demonstrate end-to-end campaign execution.,Social Media chapter; proves ongoing content design and feed aesthetics.,https://mir-s3-cdn-cf.behance.net/projects/404/4a7b03250731191.Y3JvcCw0MDg1LDMxOTUsMjIyLDIyMjQ.jpg,"https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/fd23f1250731191.6a267d45f36ac.jpg, https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/cc4d67250731191.6a267b3487ae7.jpg"
FAMIGLIA PIZZA,Ploy Diep,Branding / F&B,SELECT,Italian pizza restaurant branding with warm identity. Single strong hero image; useful as compact branding case in F&B section.,F&B Branding chapter; adds restaurant identity capability.,https://mir-s3-cdn-cf.behance.net/project_modules/1400_webp/b011d5162463351.63d671e33d8ba.png,None identified beyond hero
CARTOON NETWORK INTRO 2021 (SUMMER VERSION),Trần Bảo,Motion / Animation,SELECT,Notable broadcast client (Cartoon Network) with playful motion intro. Adds motion/animation capability that no other selected project covers.,Motion chapter; proves broadcast animation and entertainment design.,https://mir-s3-cdn-cf.behance.net/projects/404/c5ea3f124284951.Y3JvcCwxODI1LDE0MjgsMjE2LDQw.jpg,TBD
BRANDING | LONG HẢI - PATE CHO CHÓ MÈO,Thang Mai,Branding / Packaging / Pet,REJECT,Pet food branding is a nice category differentiator but only 1-2 usable images were extractable. Insufficient visual assets to present as a full project page.,N/A,N/A,N/A
LAVIE | DESIGN COLLECTION,Thang Mai,Social Media / Digital,REJECT,Big-name client but overlaps with MILO/KitKat collections and Ploy's social media work. Better to showcase FMCG social through one representative project.,N/A,N/A,N/A
KITKAT | DESIGN COLLECTION,Thang Mai,Social Media / Digital,REJECT,Global FMCG client but collection format duplicates MILO and Lavie. Portfolio already has Mơ Nướng social for social-media capability.,N/A,N/A,N/A
MILO | DESIGN COLLECTION,Thang Mai,Social Media / Digital,REJECT,Strong 6-image gallery but collection format overlaps with Lavie/KitKat. Removed to avoid redundancy; social capability covered by Mơ Nướng.,N/A,N/A,N/A
DIGITAL | DESIGN COLLECTION,Thang Mai,Digital Design,REJECT,Generic digital collection with no distinctive client or concept. Overlaps with other digital/social projects.,N/A,N/A,N/A
POSM | DESIGN COLLECTION,Thang Mai,POSM / Retail,REJECT,Generic POSM collection without strong client story. POSM capability better represented by POSM Mơ Nướng.,N/A,N/A,N/A
KEY VISUAL | GLADIA KHANG ĐIỀN,Thang Mai,Key Visual / Real Estate,REJECT,Real estate key visual overlaps with Ruby Beer and Lavie/KitKat/Milo KV work. Less distinctive than branding projects.,N/A,N/A,N/A
KEYVISUAL | RUBY BEER,Thang Mai,Key Visual / Beverage,REJECT,Beverage KV is decent but single-direction; does not add new capability beyond existing selected projects.,N/A,N/A,N/A
EVENT PROJECT | Honda UNITOUR 2023,Thang Mai,Event / Key Visual,REJECT,Corporate event work is good for B2B but overlaps event capability with Shiseido. Choose only if event needs emphasis.,N/A,N/A,N/A
EVENT PROJECT | SHISEIDO RETAILER MEETING 2025,Thang Mai,Event / Key Visual,REJECT,Beauty event is premium but single hero image and limited module access. Less strong than other selected projects.,N/A,N/A,N/A
PORTFOLIO 2023,Trần Bảo,Portfolio / Mixed,REJECT,Portfolio-of-portfolios does not add client-facing value and overlaps individual selected projects.,N/A,N/A,N/A
SOCIAL MEDIA FOR ON DIGITALS (2022),Trần Bảo,Social Media,REJECT,Agency social work is decent but not distinctive; Ploy's Mơ Nướng social is stronger and more recent.,N/A,N/A,N/A
MV VÁY HOA NHÍ (2020),Trần Bảo,Motion / Music Video,REJECT,Entertainment/motion project is less aligned with commercial client portfolio than Cartoon Network intro.,N/A,N/A,N/A
MTV INTRO (2019),Trần Bảo,Motion / Animation,REJECT,Similar motion capability to Cartoon Network intro; choose the stronger/more recognizable client work.,N/A,N/A,N/A
HUXLEY & NEW BALANCE (2019),Trần Bảo,Graphic Design / Illustration,REJECT,Fashion illustration project overlaps with Fjallraven and P!NK; not core to team positioning.,N/A,N/A,N/A
FJALLRAVEN KANKEN (2019),Trần Bảo,Graphic Design / Illustration,REJECT,Similar outdoor/fashion illustration as Huxley/New Balance; redundant.,N/A,N/A,N/A
P!NK,Trần Bảo,Graphic Design / Illustration,REJECT,Music/entertainment poster has low client-facing value and overlaps other illustration projects.,N/A,N/A,N/A
HOBGOBLIN,Trần Bảo,Graphic Design / Illustration,REJECT,Character/illustration style not aligned with commercial client portfolio.,N/A,N/A,N/A
ILLUSTRATION FOR HELLO STRANGER COFFEE (2019),Trần Bảo,Illustration / Branding,REJECT,Coffee illustration is nice but overlaps Hué Cuisine's illustration + F&B angle; not distinctive enough.,N/A,N/A,N/A
Portfolio Graphic Design,Duy Phong,Portfolio / Mixed,REJECT,Portfolio collection from Duy Phong is not a single client-facing project and overlaps other works.,N/A,N/A,N/A
Queen Ann Social Media,Ploy Diep,Social Media,REJECT,Lifestyle social overlaps Mơ Nướng social and is less visually distinctive.,N/A,N/A,N/A
Momiji Restuarant - Social Media - POSM,Ploy Diep,Social Media / POSM / F&B,REJECT,Japanese restaurant work is good but overlaps Mơ Nướng and Famiglia Pizza F&B projects.,N/A,N/A,N/A
Social Media Khalil Lounge,Ploy Diep,Social Media / F&B,REJECT,F&B social overlaps Mơ Nướng social.,N/A,N/A,N/A
Media Post Food,Ploy Diep,Social Media / F&B,REJECT,Generic food social content; overlaps Mơ Nướng.,N/A,N/A,N/A
Media Post - Kim Cúc Jewelry,Ploy Diep,Social Media / Jewelry,REJECT,Jewelry social adds category diversity but limited images and lower engagement than selected projects.,N/A,N/A,N/A
Social Media & POSM Công ty Nyna,Ploy Diep,Social Media / POSM,REJECT,Corporate social/POSM is decent but overlaps TAKAHIRO corporate and Mơ Nướng POSM/social.,N/A,N/A,N/A
Media Post Ovvani,Ploy Diep,Social Media / Lifestyle,REJECT,Lifestyle product social overlaps other social projects and lacks distinctive visual.,N/A,N/A,N/A
Media Post - Phòng khám Dr. Lê Tiến,Ploy Diep,Social Media / Medical,REJECT,Medical social has lower visual quality and limited commercial appeal for creative studio portfolio.,N/A,N/A,N/A
